Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    277.14     0.00        2     0.00     0.00  lfalse_
  0.00    277.14     0.00        2     0.00     0.00  ljust_
  0.00    277.14     0.00        2     0.00     0.00  nek_comm_settings_
  0.00    277.14     0.00        2     0.00     0.00  nekuic_
  0.00    277.14     0.00        2     0.00     0.00  pw_free
  0.00    277.14     0.00        2     0.00     0.00  separate_matrix
  0.00    277.14     0.00        2     0.00     0.02  vrdsmsh_
  0.00    277.14     0.00        1     0.00     0.00  add2s2_
  0.00    277.14     0.00        1     0.00     0.00  assign_gllnid_
  0.00    277.14     0.00        1     0.00     0.00  baryweights_
  0.00    277.14     0.00        1     0.00     0.01  bcmask_
  0.00    277.14     0.00        1     0.00     0.00  chk_nel_
  0.00    277.14     0.00        1     0.00     0.00  chkaxcb_
  0.00    277.14     0.00        1     0.00     0.11  cmt_flow_ics_
  0.00    277.14     0.00        1     0.00     0.00  cmt_switch_
  0.00    277.14     0.00        1     0.00     0.04  crs_setup_
  0.00    277.14     0.00        1     0.00     0.00  crystal_ituple_sort_
  0.00    277.14     0.00        1     0.00     0.00  dg_setup_
  0.00    277.14     0.00        1     0.00     0.00  dlamc1_
  0.00    277.14     0.00        1     0.00     0.00  dlamc2_
  0.00    277.14     0.00        1     0.00     0.00  dlamc5_
