Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     90.82     0.00      144     0.00     0.00  dlaev2_
  0.00     90.82     0.00      144     0.00     0.00  dlanst_
  0.00     90.82     0.00      144     0.00     0.00  dlansy_
  0.00     90.82     0.00      144     0.00     0.07  dorg2l_
  0.00     90.82     0.00      144     0.00     0.07  dorgql_
  0.00     90.82     0.00      144     0.00     0.07  dorgtr_
  0.00     90.82     0.00      144     0.00     0.00  dpotf2_
  0.00     90.82     0.00      144     0.00     0.00  dpotrf_
  0.00     90.82     0.00      144     0.00     0.07  dsteqr_
  0.00     90.82     0.00      144     0.00     0.21  dsyev_
  0.00     90.82     0.00      144     0.00     0.00  dsygs2_
  0.00     90.82     0.00      144     0.00     0.00  dsygst_
  0.00     90.82     0.00      144     0.00     0.21  dsygv_
  0.00     90.82     0.00      144     0.00     0.07  dsytd2_
  0.00     90.82     0.00      144     0.00     0.07  dsytrd_
  0.00     90.82     0.00      144     0.00     0.00  dtrsm_
  0.00     90.82     0.00      144     0.00     0.21  generalev_
  0.00     90.82     0.00      144     0.00     2.73  hsmg_setup_fast1d_
  0.00     90.82     0.00      144     0.00     1.24  hsmg_setup_fast1d_a_
  0.00     90.82     0.00      144     0.00     1.24  hsmg_setup_fast1d_b_
  0.00     90.82     0.00      144     0.00     0.00  tensor_ig3
  0.00     90.82     0.00      128     0.00     0.00  volum0_
  0.00     90.82     0.00      106     0.00     0.00  get_face
  0.00     90.82     0.00       96     0.00     0.00  bbox_3_tfm
  0.00     90.82     0.00       96     0.00     0.00  chkcbc_
  0.00     90.82     0.00       96     0.00     0.00  copy_strided
  0.00     90.82     0.00       96     0.00     0.00  facind_
  0.00     90.82     0.00       86     0.00     0.00  edge_index
  0.00     90.82     0.00       71     0.00     0.49  jl_gs
  0.00     90.82     0.00       69     0.00     0.00  jl_gs_init
  0.00     90.82     0.00       67     0.00     0.00  gs_op_
  0.00     90.82     0.00       64     0.00     0.00  mg_scale_mass_
  0.00     90.82     0.00       59     0.00     0.00  merge_copy_perm_ull
  0.00     90.82     0.00       56     0.00     0.00  findpt_face
  0.00     90.82     0.00       54     0.00     0.00  iglsum_
  0.00     90.82     0.00       48     0.00     0.00  chkjac_
  0.00     90.82     0.00       48     0.00     0.00  h1mg_setup_schwarz_wt3d_2_
  0.00     90.82     0.00       48     0.00     0.00  h1mg_setup_schwarz_wt_2_
  0.00     90.82     0.00       48     0.00     0.00  tensr3_
  0.00     90.82     0.00       48     0.00     0.00  vlsum_
  0.00     90.82     0.00       46     0.00     0.00  err_chk_
  0.00     90.82     0.00       45     0.00     0.00  newton_edge
  0.00     90.82     0.00       43     0.00     0.00  jacg_
  0.00     90.82     0.00       43     0.00     0.02  pnormj_
  0.00     90.82     0.00       43     0.00     0.02  zwgjd_
  0.00     90.82     0.00       41     0.00     0.04  crystal_ituple_transfer_
  0.00     90.82     0.00       40     0.00     0.00  gather_double_mul
  0.00     90.82     0.00       40     0.00     0.02  ituple_sort_
  0.00     90.82     0.00       39     0.00     1.28  dry_run_time
  0.00     90.82     0.00       38     0.00     0.27  findpt_vol
  0.00     90.82     0.00       37     0.00     0.00  byte_set_view_
  0.00     90.82     0.00       37     0.00     0.01  findpt_edge
  0.00     90.82     0.00       37     0.00     0.00  get_edge
  0.00     90.82     0.00       36     0.00     0.00  facev_
  0.00     90.82     0.00       36     0.00     0.00  glsc3_
  0.00     90.82     0.00       35     0.00     0.00  cfill_
  0.00     90.82     0.00       34     0.00     0.00  crecv_
  0.00     90.82     0.00       34     0.00     0.00  csend_
  0.00     90.82     0.00       32     0.00     0.00  mg_intp_fc_e_
  0.00     90.82     0.00       32     0.00     0.00  mg_intp_gfc_e_
  0.00     90.82     0.00       32     0.00     1.24  setzgml_
  0.00     90.82     0.00       31     0.00     0.00  rone_
  0.00     90.82     0.00       30     0.00     0.00  bcast_
  0.00     90.82     0.00       30     0.00     0.49  dssum_
  0.00     90.82     0.00       28     0.00     0.33  cr_learn
  0.00     90.82     0.00       28     0.00     0.00  jl_gs_gather_array
  0.00     90.82     0.00       27     0.00     0.00  ascol5_
  0.00     90.82     0.00       27     0.00     1.32  axhelm_
  0.00     90.82     0.00       27     0.00     0.07  endw1_
  0.00     90.82     0.00       27     0.00     0.07  endw2_
  0.00     90.82     0.00       27     0.00     0.00  setfast_
  0.00     90.82     0.00       27     0.00     0.00  vdot3_
  0.00     90.82     0.00       27     0.00     0.00  vlamax_
  0.00     90.82     0.00       27     0.00     0.17  zwglj_
  0.00     90.82     0.00       27     0.00     0.17  zwgljd_
  0.00     90.82     0.00       27     0.00     0.17  zwgll_
  0.00     90.82     0.00       26     0.00     0.00  cr_free_stage_maps
  0.00     90.82     0.00       25     0.00     0.00  invers2_
  0.00     90.82     0.00       24     0.00     0.00  mod1_
  0.00     90.82     0.00       24     0.00     0.00  row_zero_
  0.00     90.82     0.00       21     0.00     0.00  igl_running_sum_
  0.00     90.82     0.00       20     0.00     0.11  gbtuple_rank_
  0.00     90.82     0.00       20     0.00     0.02  irank_vecn_
  0.00     90.82     0.00       20     0.00     0.01  jl_sortv_ull
  0.00     90.82     0.00       19     0.00     0.56  jl_findpts_el_3
  0.00     90.82     0.00       19     0.00     0.00  ltrunc_
  0.00     90.82     0.00       17     0.00     0.00  compute_face_data_rs
  0.00     90.82     0.00       17     0.00     0.02  zwgj_
  0.00     90.82     0.00       17     0.00     0.02  zwgl_
  0.00     90.82     0.00       16     0.00     0.01  compute_face_data_tr
  0.00     90.82     0.00       16     0.00     0.49  dsop_
  0.00     90.82     0.00       16     0.00     0.00  sethmat_
  0.00     90.82     0.00       16     0.00     1.27  xyzlin_
  0.00     90.82     0.00       15     0.00     0.00  capit_
  0.00     90.82     0.00       15     0.00     0.00  jl_lobatto_nodes
  0.00     90.82     0.00       14     0.00     0.00  compute_face_data_st
  0.00     90.82     0.00       14     0.00     1.68  cr_setup
  0.00     90.82     0.00       14     0.00     6.12  gs_setup_aux
  0.00     90.82     0.00       14     0.00     0.00  jl_crystal_free
  0.00     90.82     0.00       14     0.00     0.00  jl_crystal_init
  0.00     90.82     0.00       14     0.00     0.02  nonzero_ids
  0.00     90.82     0.00       14     0.00     0.82  shared_ids
  0.00     90.82     0.00       14     0.00     0.00  sub2_
  0.00     90.82     0.00       13     0.00     0.00  allreduce_free
  0.00     90.82     0.00       13     0.00     5.54  auto_setup
  0.00     90.82     0.00       13     0.00     0.00  check_p_bc_
  0.00     90.82     0.00       13     0.00     0.00  cr_free
  0.00     90.82     0.00       13     0.00     6.12  gs_setup_
  0.00     90.82     0.00       13     0.00     6.12  gs_setup_pick_
  0.00     90.82     0.00       13     0.00     0.18  set_vert_
  0.00     90.82     0.00       13     0.00     0.18  setvert3d_
  0.00     90.82     0.00       13     0.00     0.00  usrsetvert_
  0.00     90.82     0.00       12     0.00     0.00  gather_double_max
  0.00     90.82     0.00       12     0.00     0.00  gather_double_min
  0.00     90.82     0.00       12     0.00     0.00  igllm_
  0.00     90.82     0.00       11     0.00     0.00  dnekclock_sync_
  0.00     90.82     0.00       11     0.00     0.00  i8copy_
  0.00     90.82     0.00       11     0.00     0.00  i8gop_
  0.00     90.82     0.00       11     0.00     6.30  setupds_
  0.00     90.82     0.00       10     0.00     0.00  i8glmax_
  0.00     90.82     0.00        9     0.00     0.00  addcol4_
  0.00     90.82     0.00        9     0.00     0.00  hsmg_extrude_
  0.00     90.82     0.00        9     0.00     0.00  jl_gll_lag_setup
  0.00     90.82     0.00        9     0.00     0.00  jl_gll_lag_size
  0.00     90.82     0.00        9     0.00     0.00  lagrange_coef
  0.00     90.82     0.00        9     0.00     0.00  legendre
  0.00     90.82     0.00        9     0.00     0.00  subcol4_
  0.00     90.82     0.00        8     0.00     0.17  gen_crs_basis_
  0.00     90.82     0.00        8     0.00     0.00  hsmg_dsprod_
  0.00     90.82     0.00        8     0.00     0.49  hsmg_dssum_
  0.00     90.82     0.00        8     0.00     0.00  hsmg_setup_intpm_
  0.00     90.82     0.00        8     0.00     0.00  invcol1_
  0.00     90.82     0.00        6     0.00     0.00  dgll_
  0.00     90.82     0.00        6     0.00     0.00  gather_int_add
  0.00     90.82     0.00        6     0.00     0.00  gather_int_bpr
  0.00     90.82     0.00        6     0.00     0.00  glamax_
  0.00     90.82     0.00        6     0.00     0.00  gllog_
  0.00     90.82     0.00        6     0.00     0.00  jl_fail
  0.00     90.82     0.00        6     0.00     0.00  mfo_mdatav_
  0.00     90.82     0.00        6     0.00     0.00  mfo_outv_
  0.00     90.82     0.00        6     0.00     1.23  semhat_
  0.00     90.82     0.00        6     0.00     0.00  unitvec_
  0.00     90.82     0.00        5     0.00     0.01  get_vert_
  0.00     90.82     0.00        5     0.00     0.00  glsc2_
  0.00     90.82     0.00        5     0.00     0.49  hsmg_setup_mask_
  0.00     90.82     0.00        5     0.00     1.73  hsmg_setup_rstr_wt_
  0.00     90.82     0.00        5     0.00     0.00  mfo_mdatas_
  0.00     90.82     0.00        5     0.00     0.00  mfo_outfld_
  0.00     90.82     0.00        5     0.00     0.00  mfo_outs_
  0.00     90.82     0.00        5     0.00     0.00  mfo_write_hdr_
  0.00     90.82     0.00        5     0.00     0.00  outfld_
  0.00     90.82     0.00        4     0.00     0.00  dlamc4_
  0.00     90.82     0.00        4     0.00     0.03  hsmg_intp_fc_
  0.00     90.82     0.00        4     0.00     0.03  hsmg_tnsr3d_
  0.00     90.82     0.00        4     0.00     0.03  hsmg_tnsr_
  0.00     90.82     0.00        3     0.00     0.00  area3_
  0.00     90.82     0.00        3     0.00     2.93  geodat1_
  0.00     90.82     0.00        3     0.00     1.39  geom1_
  0.00     90.82     0.00        3     0.00     0.00  geom2_
  0.00     90.82     0.00        3     0.00     0.00  getdr_
  0.00     90.82     0.00        3     0.00     1.39  glmapm1_
  0.00     90.82     0.00        3     0.00     0.49  h1mg_setup_mask_
  0.00     90.82     0.00        3     0.00     0.98  h1mg_setup_schwarz_wt_1_
  0.00     90.82     0.00        3     0.00     0.49  hsmg_schwarz_dssum_
  0.00     90.82     0.00        3     0.00     0.00  hsmg_schwarz_toreg3d_
  0.00     90.82     0.00        3     0.00   130.82  hsmg_setup_fast_
  0.00     90.82     0.00        3     0.00     0.00  jl_findpts_el_eval_2
  0.00     90.82     0.00        3     0.00     0.00  jl_gs_free
  0.00     90.82     0.00        3     0.00     0.00  jl_lob_bnd_setup
  0.00     90.82     0.00        3     0.00     0.00  jl_lobatto_quad
  0.00     90.82     0.00        3     0.00     0.00  jl_sortv_ui
  0.00     90.82     0.00        3     0.00     2.57  output_particles_new_
  0.00     90.82     0.00        3     0.00     0.37  rescale_x_
  0.00     90.82     0.00        3     0.00     2.91  setarea_
  0.00     90.82     0.00        3     0.00    13.27  setdef_
  0.00     90.82     0.00        3     0.00     0.49  setinvm_
  0.00     90.82     0.00        3     0.00     1.24  sfastax_
  0.00     90.82     0.00        3     0.00     0.00  updmsys_
  0.00     90.82     0.00        3     0.00     0.00  volume_
  0.00     90.82     0.00        3     0.00     0.15  xyzrst_
  0.00     90.82     0.00        2     0.00     0.00  crystal_setup_
  0.00     90.82     0.00        2     0.00     0.49  dsavg_
  0.00     90.82     0.00        2     0.00    19.32  geom_reset_
  0.00     90.82     0.00        2     0.00     0.55  gs_op_many_
  0.00     90.82     0.00        2     0.00     0.11  hsmg_setup_intp_
  0.00     90.82     0.00        2     0.00     0.00  hsmg_setup_solve_
  0.00     90.82     0.00        2     0.00     4.15  jl_crs_setup
  0.00     90.82     0.00        2     0.00     3.06  jl_gs_setup
  0.00     90.82     0.00        2     0.00     0.00  jl_sparse_cholesky_factor
  0.00     90.82     0.00        2     0.00     0.00  nek_comm_settings_
  0.00     90.82     0.00        2     0.00     0.00  nekuic_
  0.00     90.82     0.00        2     0.00     0.00  opcount_
  0.00     90.82     0.00        2     0.00     0.00  pw_free
  0.00     90.82     0.00        2     0.00     0.00  separate_matrix
  0.00     90.82     0.00        2     0.00     5.03  vrdsmsh_
  0.00     90.82     0.00        1     0.00     0.00  add2s2_
  0.00     90.82     0.00        1     0.00     0.00  assign_gllnid_
  0.00     90.82     0.00        1     0.00     0.51  baryweights_
  0.00     90.82     0.00        1     0.00     1.52  bcmask_
  0.00     90.82     0.00        1     0.00     0.00  chk_nel_
